NA	NA-NA	NA
FIXED_CHARGE	1-HYPERNYM	4
FLIGHT_MANEUVER	1-HYPERNYM	4
FLOP	1-HYPERNYM	12
FLOW	1-HYPERNYM	7
FLUID	1-HYPERNYM	5
FOLLOWER	1-HYPERNYM	25
FOOD	1-HYPERNYM	40
FOODSTUFF	1-HYPERNYM	4
FORBID	1-HYPERNYM	4
FORCE	1-HYPERNYM	154
FOREST	1-HYPERNYM	6
FORMATION	1-HYPERNYM	8
FOSSIL_FUEL	1-HYPERNYM	12
FOSTER	1-HYPERNYM	4
FOUNDATION	1-HYPERNYM	6
FRAGMENT	1-HYPERNYM	8
FRIEND	1-HYPERNYM	10
FRIENDSHIP	1-HYPERNYM	16
FRIGHTEN	1-HYPERNYM	48
FRIVOLITY	1-HYPERNYM	9
FRONT	1-HYPERNYM	4
FUN	1-HYPERNYM	5
FUNCTION	1-HYPERNYM	62
FUNDAMENTAL_QUANTITY	1-HYPERNYM	13
FUR	1-HYPERNYM	6
GAIN	1-HYPERNYM	35
GAME_EQUIPMENT	1-HYPERNYM	21
GANG	1-HYPERNYM	7
GARMENT	1-HYPERNYM	4
GAS	1-HYPERNYM	6
GATHER	1-HYPERNYM	4
GATHERING	1-HYPERNYM	36
GEAR	1-HYPERNYM	11
GENITOR	1-HYPERNYM	46
GEOGRAPHICAL_AREA	1-HYPERNYM	60
GEOGRAPHIC_POINT	1-HYPERNYM	28
GEOLOGICAL_FORMATION	1-HYPERNYM	26
GEOLOGICAL_PHENOMENON	1-HYPERNYM	7
GESTICULATE	1-HYPERNYM	13
GET	1-HYPERNYM	150
GET_DOWN	1-HYPERNYM	15
GET_EVEN	1-HYPERNYM	25
GET_THE_BETTER_OF	1-HYPERNYM	18
GIFT	1-HYPERNYM	6
GIRL	1-HYPERNYM	5
GIVE	1-HYPERNYM	79
GIVE_BIRTH	1-HYPERNYM	14
GIVE_VOICE	1-HYPERNYM	19
GIVING	1-HYPERNYM	4
GO	1-HYPERNYM	7
GOAL	1-HYPERNYM	14
GOAT	1-HYPERNYM	6
GONAD	1-HYPERNYM	5
GOOD	1-HYPERNYM	3
GOOD_FORTUNE	1-HYPERNYM	3
GOOD_HEALTH	1-HYPERNYM	14
GOOD_PERSON	1-HYPERNYM	5
GOSSIP	1-HYPERNYM	8
GOVERNMENT	1-HYPERNYM	7
GRAMMATICAL_CATEGORY	1-HYPERNYM	17
GRANDPARENT	1-HYPERNYM	5
GREAT_APE	1-HYPERNYM	12
GREET	1-HYPERNYM	9
GREETING	1-HYPERNYM	213
GREGORIAN_CALENDAR_MONTH	1-HYPERNYM	11
GRIEVE	1-HYPERNYM	4
GROOM	1-HYPERNYM	3
GROUP	1-HYPERNYM	673
GROUP_ACTION	1-HYPERNYM	18
GROW	1-HYPERNYM	7
GUARANTEE	1-HYPERNYM	3
GUARD	1-HYPERNYM	4
GUARDIANSHIP	1-HYPERNYM	3
GUESS	1-HYPERNYM	21
GUIDANCE	1-HYPERNYM	3
HABITUATE	1-HYPERNYM	12
HAMMER	1-HYPERNYM	3
HAND	1-HYPERNYM	4
HAND_TOOL	1-HYPERNYM	5
HAPPEN	1-HYPERNYM	156
HAPPENING	1-HYPERNYM	185
HARASS	1-HYPERNYM	11
HARM	1-HYPERNYM	6
HARMONY	1-HYPERNYM	7
HASH_OUT	1-HYPERNYM	7
HAVE	1-HYPERNYM	59
HAWTHORN	1-HYPERNYM	87
HEAD	1-HYPERNYM	21
HEAD_OF_STATE	1-HYPERNYM	25
HEAR	1-HYPERNYM	9
HEAVIER-THAN-AIR_CRAFT	1-HYPERNYM	4
HELP	1-HYPERNYM	16
HELPFULNESS	1-HYPERNYM	11
HELPING	1-HYPERNYM	3
HERB	1-HYPERNYM	9
HIDE	1-HYPERNYM	8
HIGHER_COGNITIVE_PROCESS	1-HYPERNYM	18
HIGH_STATUS	1-HYPERNYM	6
HIRE	1-HYPERNYM	4
HISTORY	1-HYPERNYM	11
HIT	1-HYPERNYM	45
HOLD	1-HYPERNYM	3
HOLE	1-HYPERNYM	36
HOMICIDE	1-HYPERNYM	33
HOMINID	1-HYPERNYM	57
HONOR	1-HYPERNYM	22
HOOP	1-HYPERNYM	3
HORSE	1-HYPERNYM	3
HOSTILITY	1-HYPERNYM	14
HOUR	1-HYPERNYM	13
HOUSING	1-HYPERNYM	17
HUMILIATE	1-HYPERNYM	3
HUNT	1-HYPERNYM	15
HURT	1-HYPERNYM	42
HYPERPIGMENTATION	1-HYPERNYM	3
IDEA	1-HYPERNYM	30
IDEAL	1-HYPERNYM	6
IDENTIFY	1-HYPERNYM	4
ILLEGALITY	1-HYPERNYM	3
ILLNESS	1-HYPERNYM	43
ILL_HEALTH	1-HYPERNYM	37
IMAGINARY_BEING	1-HYPERNYM	3
IMAGINARY_PLACE	1-HYPERNYM	5
IMAGINE	1-HYPERNYM	106
IMAGING	1-HYPERNYM	8
IMITATE	1-HYPERNYM	4
IMMUNOGEN	1-HYPERNYM	3
IMPLEMENT	1-HYPERNYM	4
IMPLEMENTATION	1-HYPERNYM	5
IMPLY	1-HYPERNYM	3
IMPORTANT_PERSON	1-HYPERNYM	9
IMPRESS	1-HYPERNYM	5
IMPRESSION	1-HYPERNYM	12
IMPROVEMENT	1-HYPERNYM	9
IMPUTE	1-HYPERNYM	20
INACTION	1-HYPERNYM	10
INACTIVITY	1-HYPERNYM	4
INCLINATION	1-HYPERNYM	5
INCLUDE	1-HYPERNYM	19
INCOME	1-HYPERNYM	16
INCREASE	1-HYPERNYM	40
INDEFINITE_QUANTITY	1-HYPERNYM	22
INDEPENDENT_AGENCY	1-HYPERNYM	5
INDICATE	1-HYPERNYM	21
INDICATION	1-HYPERNYM	13
INDISPOSE	1-HYPERNYM	7
INDUCE	1-HYPERNYM	89
INDUSTRY	1-HYPERNYM	3
INFECTIOUS_DISEASE	1-HYPERNYM	14
INFLECT	1-HYPERNYM	6
INFLICT	1-HYPERNYM	5
INFLUENCE	1-HYPERNYM	10
INFORM	1-HYPERNYM	115
INFORMATION	1-HYPERNYM	89
INFORMATION_MEASURE	1-HYPERNYM	20
INFORMING	1-HYPERNYM	4
INHABIT	1-HYPERNYM	5
INHABITANT	1-HYPERNYM	40
INHERITANCE	1-HYPERNYM	3
INITIATE	1-HYPERNYM	13
INJECT	1-HYPERNYM	4
INJURE	1-HYPERNYM	76
INJURY	1-HYPERNYM	18
INNOCENT	1-HYPERNYM	8
INQUIRY	1-HYPERNYM	14
INSANITY	1-HYPERNYM	3
INSECT	1-HYPERNYM	4
INSERT	1-HYPERNYM	3
INSIDE	1-HYPERNYM	4
INSPIRATION	1-HYPERNYM	14
INSTITUTION	1-HYPERNYM	33
INSTRUCT	1-HYPERNYM	3
INSTRUMENT	1-HYPERNYM	12
INSTRUMENTALITY	1-HYPERNYM	6
INSUFFICIENCY	1-HYPERNYM	4
INTEGER	1-HYPERNYM	14
INTELLECTUAL	1-HYPERNYM	13
INTELLIGENCE	1-HYPERNYM	4
INTEMPERANCE	1-HYPERNYM	4
INTEND	1-HYPERNYM	3
INTERACT	1-HYPERNYM	53
INTEREST	1-HYPERNYM	53
INTERNAL_ORGAN	1-HYPERNYM	4
INTERNATIONAL_INTELLIGENCE_AGENCY	1-HYPERNYM	27
INTERPENETRATE	1-HYPERNYM	7
INTERPRET	1-HYPERNYM	226
INTERRUPT	1-HYPERNYM	16
INTERSECTION	1-HYPERNYM	4
INTIMIDATE	1-HYPERNYM	10
INTONATION	1-HYPERNYM	4
INTUITION	1-HYPERNYM	4
INVENTIVENESS	1-HYPERNYM	10
INVESTIGATE	1-HYPERNYM	7
INVESTOR	1-HYPERNYM	15
INVOLVE	1-HYPERNYM	4
IRIDACEOUS_PLANT	1-HYPERNYM	4
IRRITATE	1-HYPERNYM	3
ISSUE	1-HYPERNYM	3
JERSEY	1-HYPERNYM	6
JEWELRY	1-HYPERNYM	4
JOIN	1-HYPERNYM	5
JOINT	1-HYPERNYM	3
JOKE	1-HYPERNYM	45
JOURNEY	1-HYPERNYM	11
JUDGMENT	1-HYPERNYM	32
JUDICIOUSNESS	1-HYPERNYM	3
JUMP	1-HYPERNYM	7
JUNCTURE	1-HYPERNYM	16
JUSTICE	1-HYPERNYM	4
JUSTIFICATION	1-HYPERNYM	22
JUSTIFY	1-HYPERNYM	3
JUVENILE	1-HYPERNYM	45
KEEP	1-HYPERNYM	21
KEEPSAKE	1-HYPERNYM	7
KERNEL	1-HYPERNYM	3
KETAMINE	1-HYPERNYM	3
KILL	1-HYPERNYM	59
KILLER	1-HYPERNYM	13
KILLING	1-HYPERNYM	24
KIN	1-HYPERNYM	32
KIND	1-HYPERNYM	214
KNOCK	1-HYPERNYM	19
KNOW	1-HYPERNYM	4
KNOW-HOW	1-HYPERNYM	3
KNOWING	1-HYPERNYM	7
KNOWLEDGE_DOMAIN	1-HYPERNYM	5
LABEL	1-HYPERNYM	6
LABOR	1-HYPERNYM	10
LABORER	1-HYPERNYM	9
LAKE	1-HYPERNYM	5
LAMP	1-HYPERNYM	3
LAND	1-HYPERNYM	5
LANGUAGE_UNIT	1-HYPERNYM	9
LARGE_INDEFINITE_QUANTITY	1-HYPERNYM	67
LARGE_INTEGER	1-HYPERNYM	97
LAW	1-HYPERNYM	4
LAWMAN	1-HYPERNYM	34
LAWYER	1-HYPERNYM	4
LEAD	1-HYPERNYM	24
LEADER	1-HYPERNYM	16
LEAN	1-HYPERNYM	3
LEARN	1-HYPERNYM	10
LEARNED_PROFESSION	1-HYPERNYM	5
LEARNING	1-HYPERNYM	11
LEAVE	1-HYPERNYM	50
LECTURE	1-HYPERNYM	3
LEGAL_DOCUMENT	1-HYPERNYM	13
LEGAL_RIGHT	1-HYPERNYM	16
LEGISLATURE	1-HYPERNYM	4
LEND	1-HYPERNYM	11
LENS	1-HYPERNYM	4
LESSON	1-HYPERNYM	10
LETTER	1-HYPERNYM	7
LEVY	1-HYPERNYM	11
LIE	1-HYPERNYM	17
LIFE	1-HYPERNYM	19
LIGHT	1-HYPERNYM	5
LIKE	1-HYPERNYM	26
LIMB	1-HYPERNYM	5
LIMIT	1-HYPERNYM	5
LINE	1-HYPERNYM	33
LINEAGE	1-HYPERNYM	18
LINEAR_UNIT	1-HYPERNYM	5
LINEMAN	1-HYPERNYM	11
LIQUEFY	1-HYPERNYM	6
LIQUID	1-HYPERNYM	3
LIQUID_BODY_SUBSTANCE	1-HYPERNYM	4
LIST	1-HYPERNYM	14
LITIGANT	1-HYPERNYM	3
LIVE_BODY	1-HYPERNYM	21
LIVING_THING	1-HYPERNYM	12
LOAN	1-HYPERNYM	7
LOCATION	1-HYPERNYM	61
LOOK	1-HYPERNYM	54
LORD	1-HYPERNYM	9
LOSE	1-HYPERNYM	11
LOT	1-HYPERNYM	5
LOVE	1-HYPERNYM	6
LOVER	1-HYPERNYM	46
LUNATIC	1-HYPERNYM	16
MACHINE	1-HYPERNYM	8
MAGNITUDE	1-HYPERNYM	26
MAKE	1-HYPERNYM	126
MAKER	1-HYPERNYM	4
MAKE_UP	1-HYPERNYM	6
MALE	1-HYPERNYM	7
MALEVOLENCE	1-HYPERNYM	5
MALEVOLENT_PROGRAM	1-HYPERNYM	16
MALE_OFFSPRING	1-HYPERNYM	10
MAN	1-HYPERNYM	21
MANAGE	1-HYPERNYM	11
MANAGEMENT	1-HYPERNYM	12
MANEUVER	1-HYPERNYM	19
MANIPULATE	1-HYPERNYM	17
MANNER	1-HYPERNYM	13
MANNER_OF_SPEAKING	1-HYPERNYM	3
MARBLE	1-HYPERNYM	4
MARINER	1-HYPERNYM	6
MARK	1-HYPERNYM	28
MARKSMAN	1-HYPERNYM	5
MARRIAGE_PROPOSAL	1-HYPERNYM	4
MASS	1-HYPERNYM	5
MATCH	1-HYPERNYM	37
MATERIAL	1-HYPERNYM	20
MATHEMATICAL_NOTATION	1-HYPERNYM	5
MATTER	1-HYPERNYM	12
MATTER_TO	1-HYPERNYM	6
MATURE	1-HYPERNYM	30
MEAN	1-HYPERNYM	8
MEANING	1-HYPERNYM	23
MEANS	1-HYPERNYM	20
MEASURE	1-HYPERNYM	23
MEASURING_INSTRUMENT	1-HYPERNYM	4
MEASURING_STICK	1-HYPERNYM	4
MEAT	1-HYPERNYM	4
MECHANICAL_DEVICE	1-HYPERNYM	11
MECHANICAL_PHENOMENON	1-HYPERNYM	3
MECHANISM	1-HYPERNYM	9
MEDICAL_BUILDING	1-HYPERNYM	3
MEDICAL_CARE	1-HYPERNYM	9
MEDICAL_INSTITUTION	1-HYPERNYM	20
MEDICAL_PRACTITIONER	1-HYPERNYM	18
MEDICAL_PROCEDURE	1-HYPERNYM	3
MEDICINE	1-HYPERNYM	9
MEDIUM	1-HYPERNYM	12
MEDIUM_OF_EXCHANGE	1-HYPERNYM	21
MEET	1-HYPERNYM	13
MEETING	1-HYPERNYM	4
MELT	1-HYPERNYM	4
MEMBER	1-HYPERNYM	15
MENTION	1-HYPERNYM	5
MERCANTILE_ESTABLISHMENT	1-HYPERNYM	3
MERCHANDISE	1-HYPERNYM	4
MERCHANT	1-HYPERNYM	8
MERCIFULNESS	1-HYPERNYM	10
MESSAGE	1-HYPERNYM	102
METALLIC_ELEMENT	1-HYPERNYM	203
METHOD	1-HYPERNYM	6
METRIC_LINEAR_UNIT	1-HYPERNYM	3
MICROORGANISM	1-HYPERNYM	13
MIGRANT	1-HYPERNYM	15
MIGRATION	1-HYPERNYM	6
MILITARY_ACTION	1-HYPERNYM	45
MILITARY_UNIT	1-HYPERNYM	3
MIND	1-HYPERNYM	8
MISCONCEPTION	1-HYPERNYM	12
MISFORTUNE	1-HYPERNYM	50
MISHAP	1-HYPERNYM	13
MISINFORM	1-HYPERNYM	8
MISREPRESENT	1-HYPERNYM	13
MISS	1-HYPERNYM	75
MISTAKE	1-HYPERNYM	5
MISTREATMENT	1-HYPERNYM	17
MISUSE	1-HYPERNYM	3
MOCK	1-HYPERNYM	16
MODEL	1-HYPERNYM	9
MOMENT	1-HYPERNYM	40
MONEY_HANDLER	1-HYPERNYM	5
MORALITY	1-HYPERNYM	3
MORTAL_SIN	1-HYPERNYM	6
MOTHER	1-HYPERNYM	11
MOTION	1-HYPERNYM	15
MOTIVATION	1-HYPERNYM	23
MOTOR_VEHICLE	1-HYPERNYM	21
MOTTO	1-HYPERNYM	4
MOVE	1-HYPERNYM	174
MOVEMENT	1-HYPERNYM	5
MULTIPLY	1-HYPERNYM	3
MUNICIPALITY	1-HYPERNYM	43
MURDER	1-HYPERNYM	6
MURDERER	1-HYPERNYM	3
MUSIC	1-HYPERNYM	3
MUSICAL_COMPOSITION	1-HYPERNYM	5
MUSICAL_NOTATION	1-HYPERNYM	8
NAME	1-HYPERNYM	7
NATION	1-HYPERNYM	4
NATIONAL	1-HYPERNYM	39
NATURAL_ELEVATION	1-HYPERNYM	3
NATURAL_OBJECT	1-HYPERNYM	16
NATURAL_PROCESS	1-HYPERNYM	7
NAUTICAL_LINEAR_UNIT	1-HYPERNYM	13
NECESSITATE	1-HYPERNYM	32
NECESSITY	1-HYPERNYM	59
NEED	1-HYPERNYM	19
NEGATIVE_STIMULUS	1-HYPERNYM	20
NEGLECT	1-HYPERNYM	6
NEIGHBORHOOD	1-HYPERNYM	12
NEURAL_STRUCTURE	1-HYPERNYM	3
NEWS	1-HYPERNYM	87
NOISE	1-HYPERNYM	8
NONACCOMPLISHMENT	1-HYPERNYM	18
NONFICTION	1-HYPERNYM	19
NONGOVERNMENTAL_ORGANIZATION	1-HYPERNYM	29
NONSENSE	1-HYPERNYM	8
NOTE	1-HYPERNYM	9
NOTICE	1-HYPERNYM	4
NUCLEOTIDE	1-HYPERNYM	5
NUMBER	1-HYPERNYM	22
NUTRIMENT	1-HYPERNYM	13
OBEY	1-HYPERNYM	9
OBJECT	1-HYPERNYM	47
OBJECTION	1-HYPERNYM	24
OBSERVE	1-HYPERNYM	7
OBSTRUCT	1-HYPERNYM	5
OBSTRUCTION	1-HYPERNYM	3
OCCUPATION	1-HYPERNYM	49
ODD-TOED_UNGULATE	1-HYPERNYM	13
OFFER	1-HYPERNYM	6
OFFICIATE	1-HYPERNYM	9
OFFSPRING	1-HYPERNYM	114
OPENING	1-HYPERNYM	13
OPERATE_ON	1-HYPERNYM	14
OPERATION	1-HYPERNYM	22
OPINION	1-HYPERNYM	48
OPPORTUNITY	1-HYPERNYM	10
OPPOSE	1-HYPERNYM	4
OPPOSITION	1-HYPERNYM	7
OPPRESS	1-HYPERNYM	6
OPTICAL_DEVICE	1-HYPERNYM	5
OPTION	1-HYPERNYM	6
ORDER	1-HYPERNYM	25
ORDERLINESS	1-HYPERNYM	23
ORGAN	1-HYPERNYM	3
ORGANIC_PHENOMENON	1-HYPERNYM	16
ORGANIC_PROCESS	1-HYPERNYM	15
ORGANISM	1-HYPERNYM	139
ORGANIZATION	1-HYPERNYM	24
ORGANIZE	1-HYPERNYM	6
ORGANIZED_CRIME	1-HYPERNYM	13
ORIENTATION	1-HYPERNYM	13
ORIGIN	1-HYPERNYM	5
ORIGINATE	1-HYPERNYM	4
ORIGINATOR	1-HYPERNYM	5
OSCINE	1-HYPERNYM	5
OUTBREAK	1-HYPERNYM	4
OUTBUILDING	1-HYPERNYM	3
PAIN	1-HYPERNYM	20
PAIR	1-HYPERNYM	4
PALM	1-HYPERNYM	6
PANIC	1-HYPERNYM	8
PAPER	1-HYPERNYM	6
PARENT	1-HYPERNYM	38
PART	1-HYPERNYM	36
PARTIALITY	1-HYPERNYM	3
PARTICIPANT	1-HYPERNYM	5
PARTSONG	1-HYPERNYM	3
PARTY	1-HYPERNYM	9
PASS	1-HYPERNYM	39
PASSAGE	1-HYPERNYM	7
PAST	1-HYPERNYM	6
PATH	1-HYPERNYM	31
PAUSE	1-HYPERNYM	13
PAY	1-HYPERNYM	23
PAYER	1-HYPERNYM	3
PAYMENT	1-HYPERNYM	4
PEDAL	1-HYPERNYM	8
PEER	1-HYPERNYM	5
PENALTY	1-HYPERNYM	6
PENETRATE	1-HYPERNYM	4
PEOPLE	1-HYPERNYM	111
PERCEIVE	1-HYPERNYM	34
PERFECTION	1-HYPERNYM	13
PERFORM	1-HYPERNYM	4
PERFORMANCE	1-HYPERNYM	52
PERFORMER	1-HYPERNYM	3
PERIODICAL	1-HYPERNYM	7
PERMISSION	1-HYPERNYM	7
PERMIT	1-HYPERNYM	51
PERSECUTION	1-HYPERNYM	11
PERSON	1-HYPERNYM	453
PERSONNEL_CASUALTY	1-HYPERNYM	11
PERSUADE	1-HYPERNYM	23
PERSUASION	1-HYPERNYM	9
PERTURB	1-HYPERNYM	12
PERTURBATION	1-HYPERNYM	5
PHENOMENON	1-HYPERNYM	45
PHILOSOPHY	1-HYPERNYM	10
PHOTOGRAPH	1-HYPERNYM	7
PHOTOGRAPHIC_EQUIPMENT	1-HYPERNYM	4
PHYSICAL_CONDITION	1-HYPERNYM	13
PHYSICAL_ENTITY	1-HYPERNYM	54
PHYSICAL_PHENOMENON	1-HYPERNYM	22
PHYSIOLOGICAL_PROPERTY	1-HYPERNYM	7
PICK_UP	1-HYPERNYM	12
PIECE_OF_CLOTH	1-HYPERNYM	4
PIERCE	1-HYPERNYM	11
PIGMENT	1-HYPERNYM	3
PIPE	1-HYPERNYM	16
PITCH	1-HYPERNYM	10
PLACE	1-HYPERNYM	14
PLACENTAL	1-HYPERNYM	5
PLAN	1-HYPERNYM	115
PLANE_FIGURE	1-HYPERNYM	5
PLANT	1-HYPERNYM	7
PLAN_OF_ACTION	1-HYPERNYM	8
PLATFORM	1-HYPERNYM	3
PLAY	1-HYPERNYM	24
PLAYING_CARD	1-HYPERNYM	46
PLEADING	1-HYPERNYM	7
POINT	1-HYPERNYM	72
POLICEMAN	1-HYPERNYM	23
POLISH	1-HYPERNYM	3
POLITICAL_ORIENTATION	1-HYPERNYM	5
POLITICAL_UNIT	1-HYPERNYM	240
POLITICIAN	1-HYPERNYM	10
POLITY	1-HYPERNYM	19
POOR_PEOPLE	1-HYPERNYM	6
POPULAR_MUSIC	1-HYPERNYM	3
POPULATE	1-HYPERNYM	6
POSITION	1-HYPERNYM	82
POSITIVE_IDENTIFICATION	1-HYPERNYM	5
POSSESSION	1-HYPERNYM	4
POSSIBILITY	1-HYPERNYM	23
POST	1-HYPERNYM	4
POSTULATE	1-HYPERNYM	3
POTENTIAL	1-HYPERNYM	8
POULTRY	1-HYPERNYM	3
POUR	1-HYPERNYM	6
POWER	1-HYPERNYM	18
PRACTICE	1-HYPERNYM	9
PRAISE	1-HYPERNYM	5
PRECAUTION	1-HYPERNYM	6
PREDESTINATION	1-HYPERNYM	17
PREDICAMENT	1-HYPERNYM	7
PREDICT	1-HYPERNYM	42
PREFERENCE	1-HYPERNYM	4
PREMISE	1-HYPERNYM	6
PRESENCE	1-HYPERNYM	4
PRESENT	1-HYPERNYM	27
PRESERVATION	1-HYPERNYM	4
PRESIDENCY	1-HYPERNYM	38
PRESS	1-HYPERNYM	11
PRETENSE	1-HYPERNYM	7
PREVENT	1-HYPERNYM	54
PRIMATE	1-HYPERNYM	4
PRINCIPAL	1-HYPERNYM	11
PRINCIPLE	1-HYPERNYM	5
PRISONER	1-HYPERNYM	4
PRISON_TERM	1-HYPERNYM	84
PROBABILITY	1-HYPERNYM	21
PROBE	1-HYPERNYM	16
PROBLEM	1-HYPERNYM	3
PROCEDURE	1-HYPERNYM	5
PROCEED	1-HYPERNYM	72
PROCEEDING	1-HYPERNYM	50
PROCESS	1-HYPERNYM	9
PROCESSION	1-HYPERNYM	4
PRODUCE	1-HYPERNYM	20
PRODUCT	1-HYPERNYM	27
PRODUCTION	1-HYPERNYM	4
PROFESSION	1-HYPERNYM	4
PROFESSIONAL	1-HYPERNYM	12
PROFUSION	1-HYPERNYM	3
PROGRESS	1-HYPERNYM	11
PROJECTILE	1-HYPERNYM	6
PROJECTION	1-HYPERNYM	4
PROLONG	1-HYPERNYM	69
PROMOTE	1-HYPERNYM	15
PROMOTION	1-HYPERNYM	10
PRONOUNCE	1-HYPERNYM	36
PROPEL	1-HYPERNYM	6
PROPERTY	1-HYPERNYM	84
PROPORTION	1-HYPERNYM	26
PROPOSE	1-HYPERNYM	11
PROSODY	1-HYPERNYM	4
PROSPERITY	1-HYPERNYM	4
PROTECT	1-HYPERNYM	15
PROTECTION	1-HYPERNYM	4
PROTECTIVE_COVERING	1-HYPERNYM	5
PROTEST	1-HYPERNYM	5
PROVE	1-HYPERNYM	5
PROVIDE	1-HYPERNYM	52
PROVISION	1-HYPERNYM	7
PROVOKE	1-HYPERNYM	5
PROXIMITY	1-HYPERNYM	4
PSYCHOLOGICAL_FEATURE	1-HYPERNYM	46
PSYCHOLOGICAL_STATE	1-HYPERNYM	7
PUBLICATION	1-HYPERNYM	11
PUBLICIZE	1-HYPERNYM	4
PUBLIC_SPEAKING	1-HYPERNYM	7
PUBLIC_TRANSPORT	1-HYPERNYM	7
PULL	1-HYPERNYM	15
PUNCTUATION	1-HYPERNYM	7
PUNISHMENT	1-HYPERNYM	16
PURPOSE	1-HYPERNYM	11
PURSUE	1-HYPERNYM	3
PUSH	1-HYPERNYM	10
PUT	1-HYPERNYM	55
PUTOUT	1-HYPERNYM	4
PUTREFACTION	1-HYPERNYM	6
QUALITY	1-HYPERNYM	45
QUANTITY	1-HYPERNYM	4
QUESTION	1-HYPERNYM	39
QUESTIONING	1-HYPERNYM	4
RABBLE	1-HYPERNYM	8
RACE	1-HYPERNYM	24
RADICAL	1-HYPERNYM	48
RADIOACTIVITY_UNIT	1-HYPERNYM	3
RAILWAY	1-HYPERNYM	6
RAIN	1-HYPERNYM	5
RAISE	1-HYPERNYM	6
RANK	1-HYPERNYM	6
RATE	1-HYPERNYM	8
RATIO	1-HYPERNYM	7
RATIONAL_MOTIVE	1-HYPERNYM	10
RE-CREATE	1-HYPERNYM	11
REACH	1-HYPERNYM	4
REACT	1-HYPERNYM	65
READ	1-HYPERNYM	39
READING	1-HYPERNYM	8
REALITY	1-HYPERNYM	43
REAL_PROPERTY	1-HYPERNYM	5
REASON	1-HYPERNYM	230
REASONING	1-HYPERNYM	4
RECEIVE	1-HYPERNYM	9
RECEIVER	1-HYPERNYM	3
RECEPTACLE	1-HYPERNYM	8
RECOGNITION	1-HYPERNYM	4
RECOGNIZE	1-HYPERNYM	5
RECORD	1-HYPERNYM	60
RECORDING	1-HYPERNYM	11
RECOVERY	1-HYPERNYM	3
REDE	1-HYPERNYM	5
REFER	1-HYPERNYM	48
REFLEX	1-HYPERNYM	4
REFORMER	1-HYPERNYM	14
REFRAIN	1-HYPERNYM	102
REFUTE	1-HYPERNYM	3
REGION	1-HYPERNYM	87
REGISTER	1-HYPERNYM	4
REGRET	1-HYPERNYM	11
REGULAR_PAYMENT	1-HYPERNYM	11
REJOINDER	1-HYPERNYM	5
RELATE	1-HYPERNYM	3
RELATION	1-HYPERNYM	23
RELATIONSHIP	1-HYPERNYM	3
RELATIVE	1-HYPERNYM	48
RELATIVE_QUANTITY	1-HYPERNYM	99
RELEASE	1-HYPERNYM	11
RELIGIOUS_PERSON	1-HYPERNYM	41
REMARK	1-HYPERNYM	14
REMEMBER	1-HYPERNYM	46
REMOVE	1-HYPERNYM	47
REORDERING	1-HYPERNYM	8
REPAIR	1-HYPERNYM	21
REPEL	1-HYPERNYM	44
REPORT	1-HYPERNYM	5
REPRESENT	1-HYPERNYM	16
REPRESENTATION	1-HYPERNYM	29
REPRESENTATIONAL_PROCESS	1-HYPERNYM	4
REPRODUCE	1-HYPERNYM	14
REPTILE_GENUS	1-HYPERNYM	3
REPUTE	1-HYPERNYM	5
REQUEST	1-HYPERNYM	121
REQUITE	1-HYPERNYM	3
RESERVE	1-HYPERNYM	4
RESIDENCE	1-HYPERNYM	46
RESIST	1-HYPERNYM	16
RESISTANCE	1-HYPERNYM	9
RESOLUTENESS	1-HYPERNYM	6
RESOURCE	1-HYPERNYM	36
RESPECT	1-HYPERNYM	4
RESPIRATORY_ORGAN	1-HYPERNYM	9
RESPONSIBILITY	1-HYPERNYM	5
RESTRAINT	1-HYPERNYM	7
RESTRICT	1-HYPERNYM	3
RESULT	1-HYPERNYM	15
RETURN	1-HYPERNYM	20
REVEL	1-HYPERNYM	4
REVERIE	1-HYPERNYM	3
RHETORICAL_DEVICE	1-HYPERNYM	3
RIGHT	1-HYPERNYM	7
RISE	1-HYPERNYM	4
RISK	1-HYPERNYM	3
RIVAL	1-HYPERNYM	4
ROAD	1-HYPERNYM	8
RODENT	1-HYPERNYM	3
ROLL_OF_TOBACCO	1-HYPERNYM	7
ROOM	1-HYPERNYM	13
ROTATION	1-HYPERNYM	4
RUB	1-HYPERNYM	50
RUN	1-HYPERNYM	12
RUSH	1-HYPERNYM	27
SABOTAGE	1-HYPERNYM	9
SACRED_TEXT	1-HYPERNYM	6
SADDLE_HORSE	1-HYPERNYM	3
SADNESS	1-HYPERNYM	5
SAGACITY	1-HYPERNYM	11
SANCTION	1-HYPERNYM	7
SANDWICH	1-HYPERNYM	3
SANITY	1-HYPERNYM	12
SATISFY	1-HYPERNYM	26
SAVE	1-HYPERNYM	4
SCAT	1-HYPERNYM	14
SCHEME	1-HYPERNYM	3
SCHEMER	1-HYPERNYM	14
SCHOLAR	1-HYPERNYM	6
SCHOOL_ASSIGNMENT	1-HYPERNYM	3
SCIENCE	1-HYPERNYM	3
SCIENTIST	1-HYPERNYM	14
SCORE	1-HYPERNYM	18
SCORPAENOID	1-HYPERNYM	8
SEARCH	1-HYPERNYM	28
SEASON	1-HYPERNYM	5
SEAT	1-HYPERNYM	4
SECTION	1-HYPERNYM	17
SECTOR	1-HYPERNYM	9
SECURITY	1-HYPERNYM	10
SEE	1-HYPERNYM	177
SEED	1-HYPERNYM	3
SEIZE	1-HYPERNYM	23
